Year,Month,Day,Hour,Load,Combined_Temp,Combined_GHI,Day_Clipped,DayOfYear,dow,Timestep,sin_day,cos_day,sin_week,cos_week,sin_year,cos_year,is_weekend,Date,is_holiday,lag_1_temp,lag_24_temp,delta_1_temp,delta_24_temp,lag_1_ghi,lag_24_ghi,delta_1_ghi,delta_24_ghi,CDH,HDH
1,1,1,1,1997.0,-4.042278634795733,-1.6461350356732445,1,1,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0,2021-01-01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.042278634795732
1,1,1,2,1921.0,-4.137674035906879,-1.6461350356732445,1,1,0,1,0.4999999999999999,0.8660254037844387,0.0747300935864242,0.99720379718118,0.0028670667118963,0.9999958899557886,0,2021-01-01,1,-4.042278634795733,0.0,-0.0953954011111459,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.13767403590688
1,1,1,3,1861.0,-4.205328930628449,-1.6461350356732445,1,1,0,2,0.8660254037844386,0.5000000000000001,0.1490422661761744,0.9888308262251284,0.0057341098562507,0.9999835598569392,0,2021-01-01,1,-4.137674035906879,0.0,-0.0676548947215698,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.205328930628447
1,1,1,4,1833.0,-4.409676234179682,-1.6461350356732445,1,1,0,3,1.0,6.123233995736766e-17,0.2225209339563144,0.9749279121818236,0.0086011058657151,0.999963009804806,0,2021-01-01,1,-4.205328930628449,0.0,-0.2043473035512333,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.40967623417968
1,1,1,5,1847.0,-4.435789724549862,-1.6461350356732445,1,1,0,4,0.8660254037844387,-0.4999999999999998,0.2947551744109042,0.9555728057861408,0.0114680311733287,0.9999342399683128,0,2021-01-01,1,-4.409676234179682,0.0,-0.0261134903701796,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.435789724549863
1,1,1,6,1910.0,-4.568203640924901,-1.6461350356732445,1,1,0,5,0.4999999999999999,-0.8660254037844387,0.365341024366395,0.9308737486442042,0.014334862212712,0.99989725058395,0,2021-01-01,1,-4.435789724549862,0.0,-0.1324139163750395,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.5682036409249
1,1,1,7,1972.0,-4.453775707552221,-1.6461350356732445,1,1,0,6,1.2246467991473532e-16,-1.0,0.4338837391175581,0.9009688679024191,0.0172015754182605,0.9998520419557736,0,2021-01-01,1,-4.568203640924901,0.0,0.1144279333726805,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.45377570755222
1,1,1,8,1919.0,-4.505767098962182,-1.6461350356732445,1,1,0,7,-0.4999999999999998,-0.8660254037844388,0.4999999999999999,0.8660254037844387,0.0200681472253379,0.9997986144554024,0,2021-01-01,1,-4.453775707552221,0.0,-0.0519913914099614,0.0,-1.6461350356732445,0.0,0.0,0.0,0.0,24.50576709896218
1,1,1,9,1786.0,-3.550936058014198,-1.1115504381113364,1,1,0,8,-0.8660254037844384,-0.5000000000000004,0.5633200580636221,0.8262387743159949,0.0229345540704707,0.9997369685220152,0,2021-01-01,1,-4.505767098962182,0.0,0.954831040947984,0.0,-1.6461350356732445,0.0,0.5345845975619081,0.0,0.0,23.5509360580142
1,1,1,10,1689.0,-1.7314263541521675,0.160278595100441,1,1,0,9,-1.0,-1.8369701987210294e-16,0.6234898018587335,0.7818314824680298,0.0258007723915411,0.999667104662347,0,2021-01-01,1,-3.550936058014198,0.0,1.8195097038620305,0.0,-1.1115504381113364,0.0,1.2718290332117774,0.0,0.0,21.73142635415217
